acronym,R,G,B
St,0,255,0
Di,0,0,255
Me,255,255,0
Pn,0,255,255
Cb,255,0,255
NB,251,255,0
PrVd,255,145,0
PrVv,255,0,255
SpVl,255,64,0
SpVm,34,0,255
Ento,255,250,250
HP,188,143,143
N,238,130,238
H,248,248,255
M,244,164,96
A,253,245,230
OB,135,206,235
CDL,186,85,211
N.Rot,199,21,133
Gld,210,180,140
OT,186,85,211
CN-HP,255,0,0
NFT,255,250,250
CN-H,0,250,154
LVe,255,0,255
SpVe,248,156,6
IO,0,0,205
PT,239,123,15
mMAN,253,0,29
MVe,0,0,128
LM,7,255,255
SP,46,139,87
Glv,239,29,6
Imc,255,0,55
Ipc,0,4,255
SuVe,255,230,0
Area X,239,10,40
HVC,244,23,15
RA,29,255,0
lMAN,6,239,239
DLM,0,0,205
DMA,173,253,0
OV,255,0,29
P,0,200,100
root,255,255,255
